1.70538e-14	-1.61772e-14	-4997.74	-93.9861	4997.74	93.9861	93.9861	-4997.74	-93.9861	4997.74	
1.85466e-14	-1.75738e-14	-4997.64	-95.9852	4997.64	95.9852	95.9852	-4997.64	-95.9852	4997.64	
2.01357e-14	-1.90586e-14	-4997.55	-97.9843	4997.55	97.9843	97.9843	-4997.55	-97.9843	4997.55	
2.18253e-14	-2.0635e-14	-4997.45	-99.9833	4997.45	99.9833	99.9833	-4997.45	-99.9833	4997.45	
2.36195e-14	-2.23067e-14	-4997.34	-101.982	4997.34	101.982	101.982	-4997.34	-101.982	4997.34	
2.55227e-14	-2.40775e-14	-4997.24	-103.981	4997.24	103.981	103.981	-4997.24	-103.981	4997.24	
2.75392e-14	-2.5951e-14	-4997.13	-105.98	4997.13	105.98	105.98	-4997.13	-105.98	4997.13	
2.96735e-14	-2.79313e-14	-4997.03	-107.979	4997.03	107.979	107.979	-4997.03	-107.979	4997.03	
3.19301e-14	-3.00221e-14	-4996.92	-109.978	4996.92	109.978	109.978	-4996.92	-109.978	4996.92	
3.43137e-14	-3.22274e-14	-4996.8	-111.977	4996.8	111.977	111.977	-4996.8	-111.977	4996.8	
3.6829e-14	-3.45514e-14	-4996.69	-113.975	4996.69	113.975	113.975	-4996.69	-113.975	4996.69	
3.94809e-14	-3.69981e-14	-4996.57	-115.974	4996.57	115.974	115.974	-4996.57	-115.974	4996.57	
4.22742e-14	-3.95716e-14	-4996.45	-117.973	4996.45	117.973	117.973	-4996.45	-117.973	4996.45	
4.5214e-14	-4.22764e-14	-4996.33	-119.971	4996.33	119.971	119.971	-4996.33	-119.971	4996.33	
4.83054e-14	-4.51166e-14	-4996.21	-121.97	4996.21	121.97	121.97	-4996.21	-121.97	4996.21	
5.15536e-14	-4.80966e-14	-4996.09	-123.968	4996.09	123.968	123.968	-4996.09	-123.968	4996.09	
5.49638e-14	-5.12209e-14	-4995.96	-125.967	4995.96	125.967	125.967	-4995.96	-125.967	4995.96	
5.85414e-14	-5.44941e-14	-4995.83	-127.965	4995.83	127.965	127.965	-4995.83	-127.965	4995.83	
6.22919e-14	-5.79205e-14	-4995.7	-129.963	4995.7	129.963	129.963	-4995.7	-129.963	4995.7	
